Date,Price,Open,High,Low,Vol.,Change %
7-Feb-18,370.61002,367.89453,395.73032,325.0083,7.75K,0.74
6-Feb-18,367.89453,307.23126,379.98001,258.96927,13.22K,19.75
5-Feb-18,307.23126,337.59225,349.3786,280,5.85K,-8.99
4-Feb-18,337.59225,385.21521,403.23499,328.04001,1.82K,-12.36
3-Feb-18,385.21521,383,406.26117,344.87531,2.85K,0.58
2-Feb-18,383,403,405.50009,313,9.02K,-4.96
1-Feb-18,403,398.97,420,371.12451,4.93K,1.01
31-Jan-18,398.97,380.888,400,362.75,2.69K,4.75
30-Jan-18,380.888,449.20001,449.20001,380,2.79K,-15.21
29-Jan-18,449.20001,477,481.01196,443.34323,1.73K,-5.83
28-Jan-18,477,452.10001,485.51999,452.10001,3.36K,5.51
27-Jan-18,452.10001,453.23651,464.27817,433.04837,1.43K,-0.25
26-Jan-18,453.23651,465.13889,491.12286,423.47,3.42K,-2.56
25-Jan-18,465.13889,456,476.60681,446.48041,1.65K,2
24-Jan-18,456,439.56,466.42999,422,1.49K,3.74
23-Jan-18,439.56,441.7785,467,401.12,3.40K,-0.5
22-Jan-18,441.7785,483.46948,506.99948,405.70001,2.35K,-8.62
21-Jan-18,483.46948,555.9325,556.80341,469,2.30K,-13.03
20-Jan-18,555.9325,519.19495,563.04773,511.2178,4.78K,7.08
19-Jan-18,519.19495,481.99969,549,466.63156,4.37K,7.72
18-Jan-18,481.99969,493,534.99939,469.5,5.21K,-2.23
17-Jan-18,493,502,529,395.85001,7.70K,-1.79
16-Jan-18,502,620,679.84998,445,15.35K,-19.03
15-Jan-18,620,662,685,620,2.89K,-6.34
14-Jan-18,662,693.92859,714.95001,631.23425,4.51K,-4.6
13-Jan-18,693.92859,698.14001,720,682.37695,4.01K,0.24
12-Jan-18,692.27698,643,711.98834,608,4.95K,7.83
11-Jan-18,642,711.00684,729,585,7.26K,-10.08
10-Jan-18,714,660.00146,720,613.33301,5.78K,7.53
9-Jan-18,664,686.66711,720.34412,630.09998,6.89K,-4.27
8-Jan-18,693.59998,752.29999,758.70001,570,10.53K,-7.8
7-Jan-18,752.29999,655,795,646,11.98K,14.85
6-Jan-18,655,544.46002,662,525.60999,9.82K,20.3
5-Jan-18,544.46002,545,555.20001,523,4.86K,-0.1
4-Jan-18,545,555.46997,562.66998,507,4.45K,-1.88
3-Jan-18,555.46997,544.01001,568,532,8.02K,2.11
2-Jan-18,544.01001,512,570,512,7.95K,6.25
1-Jan-18,512,480,553.77002,460.10001,6.02K,6.67
31-Dec-17,480,443.79999,489.73001,435,2.12K,8.16
30-Dec-17,443.79999,516.59998,518.78998,412,8.88K,-14.09
29-Dec-17,516.59998,475.82001,550.10999,460,7.00K,8.57
28-Dec-17,475.82001,515.34998,524.44,448.95001,5.20K,-7.67
27-Dec-17,515.34998,547,560,495.70999,5.22K,-5.79
26-Dec-17,547,516,549,508.51999,5.52K,6.01
25-Dec-17,516,520.98999,553.52002,492.29999,5.32K,-0.96
24-Dec-17,520.98999,512.94,523,421,10.22K,1.57
23-Dec-17,512.94,479,583.90997,477.01001,9.18K,7.09
22-Dec-17,479,630,642.07001,371,28.12K,-23.97
21-Dec-17,630,674,734.69,586.5,14.26K,-6.53
20-Dec-17,674,586,689,528,16.97K,15.02
19-Dec-17,586,580,620,510.82001,20.51K,1.03
18-Dec-17,580,530,590,481,18.31K,9.43
17-Dec-17,530,467,554.09998,463,15.93K,13.49
16-Dec-17,467,461.95001,491.79999,454.09,7.89K,1.09
15-Dec-17,461.95001,501.29999,506,409,17.50K,-7.85
14-Dec-17,501.29999,407,527.04999,405.64999,41.57K,23.17
13-Dec-17,407,352.17001,420,348.51999,39.01K,15.57
12-Dec-17,352.17001,314.95001,365.10001,311,22.48K,11.82
11-Dec-17,314.95001,284.95999,319.89999,278.95001,12.26K,10.52
10-Dec-17,284.95999,308.75,315.20001,279.69,12.49K,-7.71
9-Dec-17,308.75,318,339.64001,299,12.16K,-2.91
8-Dec-17,318,295,330.48001,276.12,12.84K,7.8
7-Dec-17,295,316.92999,317.54999,279.20001,13.11K,-6.92
6-Dec-17,316.92999,320.45001,349.31,301.38,21.37K,-1.1
5-Dec-17,320.45001,326.39999,329,315,8.18K,-1.82
4-Dec-17,326.39999,319.35999,330.88,311,5.74K,2.2
3-Dec-17,319.35999,324.20999,341,303.78,11.83K,-1.5
2-Dec-17,324.20999,327.12,340,315,8.00K,-0.89
1-Dec-17,327.12,300.78,334,286,10.31K,8.76
30-Nov-17,300.78,300,323.07001,254,16.00K,0.26
29-Nov-17,300,362.88,375,278,36.31K,-17.33
28-Nov-17,362.88,345,370,339.67001,16.16K,5.18
27-Nov-17,345,336.5,345.29999,326,12.61K,2.53
26-Nov-17,336.5,342,346.79999,328.17001,9.29K,-1.61
25-Nov-17,342,350.44,362,337.12,14.68K,-2.41
24-Nov-17,350.44,308.29999,353.20999,300,23.75K,13.67
23-Nov-17,308.29999,318.07001,321.07999,301.72,15.35K,-3.07
22-Nov-17,318.07001,291,323.70001,289.06,16.68K,9.3
21-Nov-17,291,302.5,310.57001,281.97,13.38K,-3.8
20-Nov-17,302.5,300,307.45001,296.07999,5.45K,0.83
19-Nov-17,300,297.5,303.35999,294,5.43K,0.84
18-Nov-17,297.5,289.22,305,285,6.45K,2.86
17-Nov-17,289.22,294,295.10001,280,6.34K,-1.63
16-Nov-17,294,288.14999,320,285.5,24.95K,2.03
15-Nov-17,288.14999,268.20001,294.98999,266.5,13.00K,7.44
14-Nov-17,268.20001,262.41,275.10001,260,6.49K,2.21
13-Nov-17,262.41,282.20001,296,253,20.25K,-7.01
12-Nov-17,282.20001,252.98,282.20001,225.60001,26.25K,11.55
11-Nov-17,252.98,235.7,269.62,232.45,17.21K,7.33
10-Nov-17,235.7,256.57001,272.48999,226.12,19.93K,-8.13
9-Nov-17,256.57001,248,270,242,14.67K,3.46
8-Nov-17,248,238.92,250,236.08,9.53K,3.8
7-Nov-17,238.92,228.10001,243.96001,226.08,7.32K,4.74
6-Nov-17,228.10001,225,236.89999,220,6.34K,1.38
5-Nov-17,225,230,232.39999,222.73,3.23K,-2.17
4-Nov-17,230,230.14999,234.67999,223,5.19K,-0.07
3-Nov-17,230.14999,215.05,240,215,9.12K,7.02
2-Nov-17,215.05,221.69,222.94,206.73,7.63K,-3
1-Nov-17,221.69,232.5,233.33,218.78999,6.21K,-4.65
31-Oct-17,232.5,240,240,230.8,3.97K,-3.13
30-Oct-17,240,232.03999,244.98,229.78999,6.39K,3.43
29-Oct-17,232.03999,230.39999,239,222.61,6.56K,0.71
28-Oct-17,230.39999,242,244.89999,228.52,3.60K,-4.79
27-Oct-17,242,232.97,255.89999,227.53999,15.88K,3.88
26-Oct-17,232.97,216.14999,237.35001,215.21001,6.71K,7.78
25-Oct-17,216.14999,216,228,206.83,4.90K,0.07
24-Oct-17,216,205,227.60001,202,7.73K,5.37
23-Oct-17,205,213.99001,213.99001,198.99001,4.48K,-4.2
22-Oct-17,213.99001,213.34,220,207.3,2.63K,0.3
21-Oct-17,213.34,221.28999,223.38,207,6.26K,-3.59
20-Oct-17,221.28999,230.3,234.75,221.28999,3.77K,-3.91
19-Oct-17,230.3,229.53,238.86,224.24001,4.36K,0.34
18-Oct-17,229.53,230.02,238.69,214,5.07K,-0.21
17-Oct-17,230.02,234.39999,252.02,227.21001,11.17K,-1.87
16-Oct-17,234.39999,233.8,237,229,4.46K,0.26
15-Oct-17,233.8,241.5,241.5,227.72,4.33K,-3.19
14-Oct-17,241.5,239.24001,243,237.42999,2.79K,0.94
13-Oct-17,239.24001,226.42999,254.35001,220,13.07K,5.66
12-Oct-17,226.42999,235.44,237.7,225.5,6.66K,-3.83
11-Oct-17,235.44,234.08,240.00999,231.71001,1.55K,0.58
10-Oct-17,234.08,228.03999,243.36,225.99001,4.93K,2.65
9-Oct-17,228.03999,241.17999,243.33,223.71001,5.73K,-5.45
8-Oct-17,241.17999,254.96001,257.51001,240.5,4.35K,-5.4
7-Oct-17,254.96001,258.04999,258.79999,242.63,5.37K,-1.2
6-Oct-17,258.04999,257,275,252,6.70K,0.41
5-Oct-17,257,237.5,267.42999,226.50999,10.95K,8.21
4-Oct-17,237.5,252.99001,253.49001,235.85001,3.78K,-6.12
3-Oct-17,252.99001,257.13,261.64001,236,6.58K,-1.61
2-Oct-17,257.13,266.01001,279,254.28999,8.65K,-3.34
1-Oct-17,266.01001,278.5,281.28,265,4.55K,-4.48
30-Sep-17,278.5,288.98001,294.54001,276,8.27K,-3.63
29-Sep-17,288.98001,311.89999,311.89999,269.07001,22.14K,-7.35
28-Sep-17,311.89999,286.5,409,281.10001,84.98K,8.87
27-Sep-17,286.5,232.10001,298,229,31.24K,23.44
26-Sep-17,232.10001,230.53,236.25,228.64999,4.50K,0.68
25-Sep-17,230.53,205.60001,235.78,204.88,7.71K,12.13
24-Sep-17,205.60001,205.2,208.87,198.2,3.10K,0.19
23-Sep-17,205.2,195,216.58,192,9.43K,5.23
22-Sep-17,195,174.85001,204.39999,174.85001,13.59K,11.52
21-Sep-17,174.85001,188,192,174.39,6.69K,-6.99
20-Sep-17,188,187.05,194.36,182,3.54K,0.51
19-Sep-17,187.05,194.8,197.37,183.00999,7.02K,-3.98
18-Sep-17,194.8,176.57001,197.37,176.57001,8.62K,10.32
17-Sep-17,176.57001,178.32001,180.89,168,3.24K,-0.98
